SRA,Samples,Accession
SRR5812498,Abelmoschus_esculentus,NC_035234
DRR083750,Actinidia_chinensis,NC_026690
ERR359708,Aegilops_sharonensis,NC_024816
SRR6940062,Ajuga_reptans,NC_023102
SRR7072768,Aldrovanda_vesiculosa,NC_035416
SRR1686960,Allium_cepa,NC_024813
SRR7528995,Alloteropsis_angusta,NC_027951
SRR7529015,Alloteropsis_cimicina,NC_027952
SRR4051980,Alloteropsis_paniculata,NC_032078
SRR7528994,Alloteropsis_semialata,NC_027824
SRR5602597,Aloysia_citrodora,NC_034695
SRR5602596,Althaea_officinalis,NC_034701
SRR5812497,Anacardium_occidentale,NC_035235
SRR6037860,Apostasia_odorata,NC_030722
SRR8040824,Arabidopsis_halleri,NC_034366
SRR8157563,Arabidopsis_lyrata,NC_034365
SRR3340908,Arabidopsis_thaliana,NC_000932
SRR7880736,Arabis_alpina,NC_023367
SRR5602595,Artemisia_annua,NC_034683
SRR4319202,Arundo_plinii,NC_034652
DRR056675,Asparagus_officinalis,NC_034777
SRR6056489,Avena_sativa,NC_027468
ERR2026268,Betula_nana,NC_033978
SRR5602594,Boswellia_sacra,NC_029420
SRR6856349,Brassica_napus,NC_016734
SRR2054762,Brassica_nigra,NC_030450
SRR073338,Cajanus_cajan,NC_031429
SRR7285294,Cannabis_sativa,NC_026562
SRR5412136,Capsella_bursa-pastoris,NC_009270
SRR1508428,Capsella_grandiflora,NC_028517
ERR636124,Capsella_rubella,NC_027693
SRR5036293,Carnegiea_gigantea,NC_027618
SRR2154065,Carthamus_tinctorius,NC_030783
SRR5204424,Cenchrus_americanus,NC_024171
SRR2729212,Centaurea_diffusa,NC_024286
SRR5938314,Chenopodium_quinoa,NC_034949
SRR1179655,Chrysobalanus_icaco,NC_024061
SRR5183095,Cicer_arietinum,NC_011163
SRR5812493,Cinnamomum_verum,NC_035236
SRR5602593,Citrus_limon,NC_034690
ERR321701,Coffea_canephora,NC_030053
SRR1179648,Couepia_guianensis,NC_024063
ERR246536,Cucumis_melo_subsp._melo,NC_015983
SRR6117755,Cymbidium_ensifolium,NC_028525
SRR6117756,Cymbidium_kanran,NC_029711
SRR6117757,Cymbidium_lancifolium,NC_029712
SRR6117754,Cymbidium_macrorhizon,NC_029713
ERR964904,Cytinus_hypocistis,NC_031150
SRR5236602,Dactylis_glomerata,NC_027473
SRR3932123,Dendrobium_aphyllum,NC_035322
SRR3932147,Dendrobium_chrysanthum,NC_035336
SRR3932141,Dendrobium_chrysotoxum,NC_028549
SRR3932124,Dendrobium_crepidatum,NC_035331
SRR3932144,Dendrobium_denneanum,NC_035324
SRR3932139,Dendrobium_falconeri,NC_035326
SRR3932122,Dendrobium_nobile,NC_029456
SRR3932128,Dendrobium_parishii,NC_035339
SRR3932138,Dendrobium_pendulum,NC_029705
SRR3932120,Dendrobium_primulinum,NC_035321
SRR3932135,Dendrobium_wardianum,NC_035329
SRR1158316,Deschampsia_antarctica,NC_023533
SRR5602573,Digitalis_lanata,NC_034688
SRR7072324,Dionaea_muscipula,NC_035417
DRR063110,Dioscorea_rotundata,NC_024170
SRR5602590,Dioscorea_villosa,NC_034686
SRR1560932,Diospyros_lotus,NC_030786
SRR7072766,Drosera_erythrorhiza,NC_035241
SRR7072322,Drosera_regia,NC_035415
SRR5602579,Echinacea_angustifolia,NC_034324
SRR5602578,Echinacea_atrorubens,NC_034323
SRR5602581,Echinacea_laevigata,NC_034322
SRR5602580,Echinacea_pallida,NC_034321
SRR5602575,Echinacea_paradoxa,NC_034320
SRR5602574,Echinacea_purpurea,NC_034327
SRR5602577,Echinacea_sanguinea,NC_034328
SRR5602576,Echinacea_speciosa,NC_034325
SRR5602587,Echinacea_tennesseensis,NC_034326
SRR5920285,Echinochloa_crus-galli,NC_028719
SRR5902661,Echinochloa_oryzicola,NC_024643
ERR276848,Elaeis_guineensis,NC_017602
SRR8534306,Epimedium_koreanum,NC_029943
SRR1463402,Eragrostis_tef,NC_029413
SRR5307620,Erythranthe_lutea,NC_030212
SRR6355713,Euphorbia_esula,NC_033910
SRR5433722,Fagopyrum_tataricum,NC_027161
SRR5678803,Ficus_carica,NC_035237
SRR1405699,Ficus_racemosa,NC_028185
SRR1612828,Fragaria_chiloensis,NC_019601
SRR866156,Fragaria_vesca_subsp._bracteata,NC_018766
SRR5602605,Fragaria_virginiana,NC_019602
SRR7725010,Glycine_soja,NC_022868
SRR8690419,Glycyrrhiza_glabra,NC_024038
ERR268420,Gnetum_gnemon,NC_026301
SRR2012721,Gossypium_herbaceum,NC_023215
SRR3170741,Haplostachys_haplostachya,NC_029819
SRR825830,Helianthus_annuus,NC_007977
SRR2155086,Helianthus_argophyllus,NC_030275
SRR5907791,Helianthus_debilis,NC_030173
SRR1265942,Hibiscus_syriacus,NC_026909
SRR1179646,Hirtella_physophora,NC_024066
SRR1179649,Hirtella_racemosa,NC_024060
SRR8690418,Humulus_lupulus,NC_028032
SRR5602606,Hydrastis_canadensis,NC_034702
SRR5602608,Illicium_anisatum,NC_034703
SRR5602609,Illicium_floridanum,NC_034685
SRR5602610,Illicium_henryi,NC_034699
SRR5602607,Illicium_verum,NC_034689
SRR7868503,Ipomoea_batatas,NC_026703
SRR6667669,Ipomoea_trifida,NC_034670
SRR5602611,Jasminum_sambac,NC_034694
SRR5602601,Jasminum_tortuosum,NC_034691
SRR2057822,Juglans_regia,NC_028617
SRR1145775,Juniperus_cedrus,NC_028190
ERR268423,Juniperus_communis,NC_035068
SRR8736654,Lactuca_sativa,NC_007578
SRR5602602,Laurus_nobilis,NC_034700
SRR1179652,Licania_alba,NC_024064
SRR1179651,Licania_sprucei,NC_024065
SRR1265940,Lilium_tsingtauense,NC_027675
SRR5812499,Litchi_chinensis,NC_035238
SRR8115522,Lotus_japonicus,NC_002694
SRR3484539,Ludisia_discolor,NC_030540
SRR5602588,Magnolia_biondii,NC_034687
SRR3571175,Malus_prunifolia,NC_031163
SRR5812496,Mangifera_indica,NC_035239
SRR576532,Melianthus_villosus,NC_023256
SRR559245,Miscanthus_sacchariflorus,NC_028720
SRR4028761,Miscanthus_sinensis,NC_028721
SRR5602600,Mitragyna_speciosa,NC_034698
SRR1171700,Nicotiana_otophora,NC_032724
SRR6940087,Ocimum_basilicum,NC_035143
ERR375848,Olea_europaea_subsp._europaea,NC_015401
SRR7341625,Oryza_barthii,NC_027460
DRR057991,Oryza_glumipatula,NC_027461
DRR056658,Oryza_longiglumis,NC_034763
DRR058031,Oryza_longistaminata,NC_027462
DRR058012,Oryza_meridionalis,NC_016927
DRR056670,Oryza_meyeriana,NC_034765
DRR000604,Oryza_officinalis,NC_027463
SRR1264539,Oryza_punctata,NC_027676
DRR056663,Oryza_ridleyi,NC_034764
SRR6220521,Oryza_rufipogon,NC_017835
ERR2696318,Oryza_sativa,NC_031333
SRR8302715,Ostrya_rehderiana,NC_028349
SRR485871,Panicum_capillare,NC_030493
SRR1179645,Parinari_campestris,NC_024067
SRR576534,Pelargonium_citronellum,NC_031194
SRR6940083,Perilla_frutescens,NC_030756
SRR5807695,Phaseolus_vulgaris,NC_009259
SRR2518264,Phoenix_dactylifera,NC_013991
SRR8245858,Phyllostachys_edulis,NC_015817
ERR1727007,Picea_abies,NC_021456
ERR1735493,Picea_asperata,NC_032367
ERR1735613,Picea_crassifolia,NC_032366
SRR869482,Picea_glauca,NC_028594
SRR5602585,Pimenta_dioica,NC_034684
SRR7666034,Pinus_massoniana,NC_021439
ERR268429,Pinus_sylvestris,NC_035069
SRR1049756,Pinus_taeda,NC_021440
SRR5602592,Piper_auritum,NC_034697
SRR5602591,Piper_nigrum,NC_034692
SRR4453367,Pistacia_vera,NC_034998
SRR2120220,Podococcus_barteri,NC_027276
SRR3678826,Populus_alba,NC_008235
ERR1735633,Populus_tremula,NC_027425
SRR1653109,Populus_tremula_x_Populus_alba,NC_028504
SRR5467392,Populus_trichocarpa,NC_009143
SRR6940036,Premna_microphylla,NC_026291
SRR1660449,Primula_veris,NC_031428
SRR5602582,Prunus_dulcis,NC_034696
SRR3138168,Prunus_kansuensis,NC_023956
SRR8240066,Prunus_mume,NC_023798
DRR169775,Prunus_yedoensis,NC_026980
SRR5812494,Punica_granatum,NC_035240
SRR6940088,Scutellaria_baicalensis,NC_027262
SRR5349620,Solanum_berthaultii,NC_034951
SRR5349609,Solanum_commersonii,NC_028069
DRR014074,Solanum_melongena,NC_030207
SRR424217,Sorghum_timorense,NC_023800
SRR4434178,Sporobolus_michauxianus,NC_029416
SRR3170744,Stachys_byzantina,NC_029825
SRR3170745,Stachys_chamissonis,NC_029822
SRR3170746,Stachys_coccinea,NC_029823
SRR3170747,Stachys_sylvatica,NC_029824
SRR8185394,Taraxacum_kok-saghyz,NC_032057
ERR268425,Taxus_baccata,NC_035066
SRR6940065,Tectona_grandis,NC_020098
SRR1034659,Thlaspi_arvense,NC_034362
SRR1276173,Vaccinium_macrocarpon,NC_019616
ERR413103,Vicia_sativa,NC_027155
SRR7125688,Vigna_unguiculata,NC_018051
SRR5891950,Vitis_amurensis,NC_031383
SRR5627788,Vitis_rotundifolia,NC_023790
SRR1265941,Wisteria_floribunda,NC_027677
